,CPU,throughput
0,517.21,0.1
1,521.33,0.1
2,510.55,0.1
3,512.59,0.1
4,494.36,0.1
5,504.39,0.1
6,515.02,0.1
7,511.96,0.1
8,505.27,0.1
9,498.38,0.1
10,518.89,0.1
11,504.47,0.1
12,501.83,0.1
13,518.22,0.1
14,506.46,0.1
15,502.0,0.1
16,511.85,0.1
17,511.77,0.1
18,507.38,0.1
19,507.22,0.1
20,516.81,0.1
21,493.6,0.1
22,519.22,0.1
23,514.01,0.1
24,518.83,0.1
25,518.83,0.1
26,513.3,0.1
27,507.5,0.1
28,499.25,0.1
29,507.14,0.1
30,518.2,0.1
31,503.86,0.1
32,515.9,0.1
33,512.08,0.1
34,514.93,0.1
35,514.63,0.1
36,511.3,0.1
37,512.09,0.1
38,506.9,0.1
39,510.85,0.1
40,518.43,0.1
41,502.72,0.1
42,514.44,0.1
43,506.14,0.1
44,501.78,0.1
45,519.02,0.1
46,514.87,0.1
47,509.82,0.1
48,512.83,0.1
49,513.24,0.1
50,507.73,0.1
51,513.06,0.1
52,507.45,0.1
53,513.28,0.1
54,511.67,0.1
55,516.04,0.1
56,503.23,0.1
57,509.09,0.1
58,517.37,0.1
59,515.15,0.1
60,514.33,0.1
61,516.14,0.1
62,503.18,0.1
63,528.04,0.1
64,519.1,0.1
65,511.91,0.1
66,513.17,0.1
67,499.56,0.1
68,521.39,0.1
69,519.05,0.1
70,519.96,0.1
71,509.3,0.1
72,515.72,0.1
73,521.9,0.1
74,522.66,0.1
75,502.35,0.1
76,506.11,0.1
77,508.46,0.1
78,517.59,0.1
79,508.47,0.1
80,1070.13,0.2
81,1081.82,0.2
82,1056.32,0.2
83,1069.98,0.2
84,1050.12,0.2
85,1061.73,0.2
86,1056.79,0.2
87,1073.94,0.2
88,1065.84,0.2
89,1056.8,0.2
90,1084.2,0.2
91,1042.6,0.2
92,1060.0,0.2
93,1047.32,0.2
94,1058.93,0.2
95,1043.98,0.2
96,1059.77,0.2
97,1061.22,0.2
98,1064.69,0.2
99,1057.55,0.2
100,1086.78,0.2
101,1060.13,0.2
102,1070.42,0.2
103,1068.28,0.2
104,1077.89,0.2
105,1079.08,0.2
106,1079.61,0.2
107,1080.29,0.2
108,1083.09,0.2
109,1088.15,0.2
110,1074.02,0.2
111,1074.44,0.2
112,1058.67,0.2
113,1050.63,0.2
114,1074.6,0.2
115,1044.31,0.2
116,1063.67,0.2
117,1061.16,0.2
118,1084.82,0.2
119,1083.13,0.2
120,1051.06,0.2
121,1073.2,0.2
122,1080.76,0.2
123,1067.4,0.2
124,1082.9,0.2
125,1055.62,0.2
126,1060.38,0.2
127,1057.14,0.2
128,1036.08,0.2
129,1057.65,0.2
130,1078.23,0.2
131,1070.45,0.2
132,1077.09,0.2
