,CPU,throughput
0,49192.75,0.1
1,50082.85,0.1
2,49936.27,0.1
3,49879.74,0.1
4,47800.17,0.1
5,51561.0,0.1
6,51469.16,0.1
7,47738.7,0.1
8,49153.66,0.1
9,49892.66,0.1
10,49219.7,0.1
11,48351.95,0.1
12,50034.29,0.1
13,49116.86,0.1
14,48413.95,0.1
15,50768.23,0.1
16,50080.42,0.1
17,49159.0,0.1
18,50909.81,0.1
19,49406.36,0.1
20,49188.33,0.1
21,49851.72,0.1
22,50679.24,0.1
23,49316.38,0.1
24,48451.28,0.1
25,50021.3,0.1
26,50052.73,0.1
27,49932.78,0.1
28,49085.35,0.1
29,48418.07,0.1
30,49955.86,0.1
31,50078.37,0.1
32,50842.42,0.1
33,49928.75,0.1
34,49985.87,0.1
35,48620.21,0.1
36,48455.62,0.1
37,48461.54,0.1
38,48955.45,0.1
39,50045.72,0.1
40,49311.1,0.1
41,49903.78,0.1
42,50004.85,0.1
43,49186.37,0.1
44,48270.35,0.1
45,49312.82,0.1
46,48583.06,0.1
47,47135.32,0.1
48,49200.33,0.1
49,49387.44,0.1
50,50069.39,0.1
51,51714.93,0.1
52,48559.15,0.1
53,50762.11,0.1
54,49148.85,0.1
55,49041.19,0.1
56,49022.05,0.1
57,48389.49,0.1
58,49172.02,0.1
59,49801.97,0.1
60,50877.57,0.1
61,48642.77,0.1
62,49224.62,0.1
63,50928.21,0.1
64,49077.75,0.1
65,49986.93,0.1
66,49180.11,0.1
67,50023.02,0.1
68,48319.42,0.1
69,49902.52,0.1
70,49784.68,0.1
71,49855.21,0.1
72,49207.21,0.1
73,51657.46,0.1
74,49958.25,0.1
75,49304.88,0.1
76,48575.64,0.1
77,47636.27,0.1
78,50063.14,0.1
79,47112.29,0.1
80,117848.04,0.2
81,122651.32,0.2
82,118834.6,0.2
83,120104.32,0.2
84,120358.84,0.2
85,122101.42,0.2
86,119376.84,0.2
87,123099.68,0.2
88,120497.27,0.2
89,115597.25,0.2
90,118789.9,0.2
91,117351.59,0.2
92,121653.2,0.2
93,121806.68,0.2
94,121490.6,0.2
95,126181.93,0.2
96,120617.91,0.2
97,119015.85,0.2
98,120161.02,0.2
99,118269.16,0.2
100,119147.41,0.2
101,120019.38,0.2
102,124002.6,0.2
103,121640.69,0.2
104,117872.13,0.2
105,118820.43,0.2
106,115709.4,0.2
107,118717.67,0.2
108,117262.28,0.2
109,118996.07,0.2
110,120348.78,0.2
111,122512.3,0.2
112,118624.78,0.2
113,117294.9,0.2
114,118788.88,0.2
115,121732.13,0.2
116,123634.58,0.2
117,123318.43,0.2
118,116747.6,0.2
119,120127.3,0.2
120,120652.09,0.2
121,120598.6,0.2
122,117259.58,0.2
123,120688.42,0.2
124,117322.84,0.2
125,123620.57,0.2
126,122626.58,0.2
127,124117.69,0.2
128,120137.11,0.2
129,119161.32,0.2
130,119948.51,0.2
131,123878.16,0.2
132,116825.82,0.2
133,121686.38,0.2
134,118683.45,0.2
135,119420.17,0.2
136,118142.46,0.2
137,120674.76,0.2
138,121123.56,0.2
139,115667.51,0.2
140,118711.01,0.2
141,121642.39,0.2
142,121303.68,0.2
143,119588.87,0.2
144,116058.14,0.2
145,118189.91,0.2
146,123210.64,0.2
147,118012.12,0.2
148,121043.77,0.2
149,122656.27,0.2
150,117533.29,0.2
151,122461.73,0.2
152,117082.11,0.2
153,118917.07,0.2
154,125168.12,0.2
155,121621.45,0.2
156,121363.7,0.2
157,116245.72,0.2
158,124656.34,0.2
159,118744.68,0.2
160,201413.0,0.3
161,202488.4,0.3
162,201072.75,0.3
163,205464.29,0.3
164,204755.74,0.3
165,204267.26,0.3
166,198815.33,0.3
167,206926.98,0.3
168,201119.57,0.3
169,203768.06,0.3
170,201876.77,0.3
171,206541.44,0.3
172,201867.1,0.3
173,211433.82,0.3
174,206557.27,0.3
175,211381.13,0.3
176,201041.74,0.3
177,198505.65,0.3
178,206913.18,0.3
179,206701.33,0.3
180,202150.47,0.3
181,196983.35,0.3
182,194400.82,0.3
183,202081.35,0.3
184,196051.84,0.3
185,198543.37,0.3
186,201633.95,0.3
187,203436.0,0.3
188,204103.37,0.3
189,193656.65,0.3
190,196147.91,0.3
191,203956.62,0.3
192,196509.51,0.3
193,206260.0,0.3
194,198798.27,0.3
195,204153.9,0.3
196,203763.31,0.3
197,202037.97,0.3
198,191100.58,0.3
199,206258.19,0.3
200,202382.9,0.3
201,197417.0,0.3
202,199648.91,0.3
203,205734.53,0.3
204,205133.32,0.3
205,200348.36,0.3
206,206327.74,0.3
207,202628.83,0.3
208,202857.05,0.3
209,207210.58,0.3
210,204592.8,0.3
211,196657.08,0.3
212,199217.92,0.3
213,204941.31,0.3
214,200129.31,0.3
215,197453.12,0.3
216,207121.74,0.3
217,204712.1,0.3
218,201594.96,0.3
219,201258.55,0.3
220,198531.14,0.3
221,206745.89,0.3
222,206165.3,0.3
223,197695.15,0.3
224,202811.9,0.3
225,201382.88,0.3
226,212061.7,0.3
227,201307.17,0.3
228,207944.89,0.3
229,218237.74,0.3
230,200516.67,0.3
231,205419.12,0.3
232,208052.84,0.3
233,196215.5,0.3
234,201539.49,0.3
235,201179.4,0.3
236,202778.38,0.3
237,206000.95,0.3
238,208080.09,0.3
239,203336.93,0.3
240,306770.42,0.4
